glottocode,Language,Family,Lat,ULong,Grades,Places,Pitch,Closure,Geminate,ArchiPhonemes,Qualities,Ancillary,TotalVowels,Diphthongs,TotalTones,ContrastiveStress,InitialStress,FinalStress,latitude,longitude
abkh1244,Abkhaz,WestCaucasian,43.08,41,3,5,2,1,0,31,2,0,2,0,0,Yes,3,2,43.056218,41.159115
achi1257,Acehnese,Austronesian,5.5,95.5,4,4,0,0,0,20,10,1,17,5,0,No,2,1,3.90757,96.6032
adam1253,Fula,Atlantic-Congo,13,-9,4,4,0,1,1,27,5,1,10,,0,No,1,1,8.140326,13.077338
adyg1241,Adyghe,WestCaucasian,44.1,39.08,3,7,1,1,0,41,3,9,3,0,0,Yes,2,2,44,39.33
afit1238,Affiti,Nyimang(isolate),12.45,30.86,2,4,0,0,0,16,6,0,6,0,2,No,1,1,12.446,30.7611
aghu1253,Aghul,Nakh-Daghestanian(EastCaucasian),41.92,47.58,4,5,1,1,1,41,5,2,5,,,Yes,1,2,41.9242,47.5843
ahte1237,Ahtna,AET,61.71,298.29,3,6,0,1,0,32,5,1,10,0,0,No,2,1,61.7068,-144.889
ainu1240,Ainu,Ainu(isolate),43,143,1,3,0,0,0,11,5,0,5,0,0,Yes,1,1,43.633654,142.46167
akhv1239,Akhvakh,Nakh-Daghestanian(EastCaucasian),42.55,46.35,4,6,1,1,1,88,5,2,20,,0,Yes,1,0,42.4003,46.3037
alam1246,Alamblak,Sepik,-4.67,143.33,2,4,0,0,0,18,7,0,7,0,0,No,3,2,-4.66307,143.316
aleu1260,Aleut,Eskimo-Aleut,54,166,2,5,0,0,0,26,3,1,6,0,0,No,3,3,52.1228,-174.29
aleu1260,Aleut,Eskimo-Aleut,54,306,2,5,0,0,0,26,3,1,6,0,0,No,3,3,52.1228,-174.29
alse1251,Alsea,Alsea-Yaquina,44.41,315.59,2,5,1,1,,30,3,3,12,,,,2,3,44.408,-123.94
amel1241,Amele,NuclearTNG,-5.25,145.58,2,2,0,1,0,15,5,0,5,6,0,No,1,1,-5.29126,145.687
amha1245,Amharic,Semitic,10,38,3,4,1,1,1,30,7,0,7,,0,No,2,2,11.708182,39.543456
andi1255,Andi,Nakh-Daghestanian(EastCaucasian),42.81,46.29,3,6,1,1,1,57,5,0,5,0,4,No,1,1,42.8078,46.2919
anem1249,Anêm,WestNewBritain,-5.58,149.08,2,3,0,0,0,14,7,0,7,,0,,2,1,-5.54836,148.993
apur1254,Apurinã,Arawakan,-9,293,1,4,0,0,0,14,5,2,20,6,0,No,1,0,-8.21692,-66.7714
arap1274,Arapaho,Algic,43.39,316.61,1,4,1,0,0,12,4,1,8,4,2,,1,0,43.3879,-108.81
arch1244,Archi,Nakh-Daghestanian(EastCaucasian),42.07,46.83,4,6,1,1,0,42,6,2,11,,0,Yes,1,2,42.3239,46.8267
atak1252,Atakapa,Atakapa(isolate),30.91,329.09,1,5,0,0,0,13,5,1,9,0,,,1,2,30.9121,-93.0827
avar1256,Avar(std),Nakh-Daghestanian(EastCaucasian),42.54,46.7,4,6,1,1,1,44,5,0,5,0,0,Yes,1,2,41.7047,46.558
awac1239,AwaPit,Barbacoan,1.5,281.75,1,3,0,0,0,14,4,1,7,,0,No,2,2,1.21652,-78.3401
awtu1239,Awtuw,Sepik,-3.53,141.93,1,3,0,0,0,11,7,0,7,0,,Yes,2,3,-3.53129,141.928
babi1235,Witsuwit'en(Babine),AET,55.1,304.9,3,7,1,1,0,35,6,0,6,,0,No,2,1,55.0997,-126.41
bagv1239,Bagwalal,Nakh-Daghestanian(EastCaucasian),42.4,46.1,3,6,1,1,1,44,5,2,17,0,2,Yes,1,2,42.3966,46.1041
bard1255,Bardi,Nyulnyulan,-16.58,122.92,1,5,0,0,0,17,4,1,7,0,0,No,1,1,-16.6274,122.906
basq1248,Basque,Basque(isolate),43,-3,3,5,0,0,0,28,6,0,6,0,0,No,2,1,43.2787,-1.31622
bats1242,"Bats,Batsbi",Nakh-Daghestanian(EastCaucasian),42.3,45.29,5,5,0,1,1,41,5,2,18,6,0,No,3,3,42.1806,45.344
beja1238,Beja,Cushitic,18,36,2,5,1,0,,21,5,1,10,0,0,Yes,2,2,17.2436,36.6666
belh1239,Belhare,Sino-Tibetan,26.97,87.3,3,4,0,0,0,22,6,1,8,0,0,No,2,1,26.9972,87.2783
bezh1248,Bezhta,Nakh-Daghestanian(EastCaucasian),42.13,46.14,3,6,0,1,0,28,8,2,19,,3,No,1,2,42.1206,46.0332
bilo1248,Biloxi,Siouan,31.32,328.68,1,4,0,0,0,12,6,2,14,,,,3,2,31.32,-89.1951
biss1248,Bisa,Mande,12.95,-0.5,2,3,0,0,,18,10,2,33,0,8,,2,1,10.4257,-1.67332
buki1249,Bukiyip,NuclearTorricelli,-3.5,143,2,4,0,0,0,17,8,0,8,0,0,Yes,2,2,-3.47169,143.111
bulg1262,Bulgarian,Indo-European,42.5,25,2,4,1,0,0,36,6,0,6,0,0,Yes,3,3,43.3646,25.047
