Polygon,Latitude,Longitude
North America,75,-165
North America,10,-165
North America,10,-29
North America,75,-29
The Americas,75,-165
The Americas,-60,-165
The Americas,-60,-29
The Americas,75,-29
American Pacific Rim,75,-140
American Pacific Rim,15,-90
American Pacific Rim,-12,-64
American Pacific Rim,-55,-64
American Pacific Rim,55,-165
American Pacific Rim,75,-165
American Pacific Rim,75,-140
Eurafrica,75,-25
Eurafrica,-35,-25
Eurafrica,-35,65
Eurafrica,40,65
Eurafrica,75,30
North Eurasia,75,-25
North Eurasia,40,-25
North Eurasia,40,180
North Eurasia,75,180
East Asia,75,65
East Asia,5,105
East Asia,60,180
East Asia,75,180
Maritime SEA and Oceania,34,85
Maritime SEA and Oceania,-40,120
Maritime SEA and Oceania,-40,180
Maritime SEA and Oceania,34,180
